"Thématiques","Critères","Accueil","Espace Plaisancier","Mentions légales","Accessibilité","FAQ","Aide",Mon tableau de bord (mode connecté),Déclarer la cession / vente d'un navire (mode connecté)
"10","11","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution","nc|Perte du menu en petite résolution.
La page est toujours structurée en deux colonnes : La liste des démarches est difficelment lisible","nc|Perte du menu en petite résolution.
La page est toujours structurée en deux colonnes : La liste des démarches est difficelment lisible"
"10","12","c","c","c","c","c","c",nc|Les informations de compte et le menu se chevauchent,nc|Les informations de compte et le menu se chevauchent
"10","13","na","na","na","na","na","na",c,c
"10","14","na","na","na","na","na","na",c,c
"11","1","na","na","na","na","na","na","nc|!F!Le libellé ""Numéro d'enregistrement ou d'immatriculation"" n'est pas relié au champ. Ajouter un attribut `for=""numeroImmat""` à l'élément `<label>`",nc|Les libellés et champs des deux formulaires contenus dans les fenêtres modales ne sont pas reliés entre eux par des attributs for et id.
"11","2","na","na","na","na","na","na","nc|!F!Le label contient un `<span _ngcontent-yni-c183="""" class=""required-symbole"">*</span>`dont le sens n'est pas explicité. Il peut être supprimé.",c
"11","3","na","na","na","na","na","na",na,c
"11","4","na","na","na","na","na","na",c,c
"11","5","na","na","na","na","na","na",na,nc|les formulaire d'ajout de propriétaire devrait être dans un élément `<fieldset><legend>`
"11","6","na","na","na","na","na","na",na,na
"11","7","na","na","na","na","na","na",na,na
"11","8","na","na","na","na","na","na",na,na
"11","9","na","na","na","na","na","na","nc|!F!Ajouter l'attribut `aria-label=""rechercher un navire par son numéro d'enregistrement ou d'immatriculation""` au bouton de soumission du formulaire","nc|Les boutons ""Ajouter un propriétaire"" et ""supprimer une pj"" n'ont pas d'initulé "
